,Date,timestamp,UserAccelerationX,UserAccelerationY,UserAccelerationZ,AttitudeRoll,AttitudePitch,AttitudeYaw,GravityX,GravityY,GravityZ,RotationRateX,RotationRateY,RotationRateZ
18,37:37.4,1730438818.0,0.014312148,-0.253036141,-0.367713034,-0.696265617,0.848138134,0.253074368,0.575470567,0.641357005,-0.507439494,-6.570545197,-3.422025681,1.270470381
19,37:37.4,1730438818.0,-0.059284985,-0.27735275,-0.420483768,-0.729992267,0.860980881,0.326684498,0.565205395,0.666863859,-0.485628903,-6.354438305,-3.638476849,0.991062164
20,37:37.4,1730438818.0,-0.016550004,-0.657654405,-0.407275528,-0.76375132,0.875539675,0.401173452,0.554605424,0.691635668,-0.462658525,-6.365754604,-3.527582884,0.950288594
21,37:37.4,1730438818.0,0.054084599,-0.883862495,-0.192236006,-0.796331079,0.896757193,0.478636038,0.546394527,0.714795113,-0.436487079,-6.259789467,-3.118078709,0.960290372
22,37:37.4,1730438818.0,0.012678266,-0.644190013,-0.150220871,-0.825726943,0.923374221,0.55536942,0.540819049,0.735040843,-0.408937454,-5.631465912,-2.71457386,0.885584235
23,37:37.4,1730438818.0,-0.097671092,-0.183569849,-0.304248571,-0.84897227,0.948352304,0.623633456,0.536834359,0.750601709,-0.385235071,-4.478314877,-2.46172905,0.795911074
24,37:37.4,1730438818.0,-0.148909867,0.303222954,-0.48404789,-0.865513942,0.966959137,0.679626947,0.533614516,0.761428535,-0.368079185,-3.470212698,-2.296168327,0.728630245
25,37:37.4,1730438818.0,-0.138162374,0.73204267,-0.592675209,-0.877100355,0.980582442,0.726204862,0.531213522,0.768888116,-0.355841607,-2.862861395,-2.092711926,0.729828954
26,37:37.5,1730438818.0,-0.133002639,0.904157639,-0.616182566,-0.886491259,0.995563412,0.770280613,0.530402541,0.774858534,-0.343900442,-2.965611935,-1.712688088,0.805737734
27,37:37.5,1730438818.0,-0.146447241,0.653844416,-0.617703378,-0.896315186,1.020213953,0.821269005,0.532204688,0.781031072,-0.326724052,-3.499922037,-1.320811152,0.947971284
28,37:37.5,1730438818.0,-0.179664195,0.295782745,-0.561845124,-0.906766423,1.054126848,0.879904687,0.535850108,0.787515044,-0.304442108,-3.804734707,-1.125507116,0.934496641
29,37:37.5,1730438818.0,-0.200290561,0.163996041,-0.486371815,-0.917079063,1.091988329,0.94144994,0.539752841,0.793828666,-0.280183941,-3.762777567,-1.052453995,0.853216171
30,37:37.5,1730438818.0,-0.169147372,0.145220518,-0.394395798,-0.925746379,1.128924937,1.000759829,0.543491364,0.799069762,-0.257108748,-3.418456554,-1.009695649,0.782674551
31,37:37.5,1730438818.0,-0.122884274,0.210787594,-0.295443058,-0.932143468,1.162096925,1.054070662,0.547017574,0.802899539,-0.236905545,-2.911183834,-0.892334938,0.666759968
32,37:37.5,1730438818.0,-0.100709617,0.264851689,-0.244463742,-0.936838935,1.190161279,1.099077492,0.549943626,0.805689692,-0.220059529,-2.349382401,-0.713483691,0.543894768
