,timestamp,UserAccelerationX,UserAccelerationY,UserAccelerationZ,AttitudePitch,AttitudeRoll,AttitudeYaw,GravityX,GravityY,GravityZ,RotationRateX,RotationRateY,RotationRateZ,Date
512,1730433569.128391,-0.007355123758316,0.0270235836505889,0.0164075493812561,0.2546825248098168,0.078587115084114,-0.3078537421704636,0.0759738981723785,-0.2519381940364837,-0.9647564888000488,-0.0300608202815055,0.0019257214153185,0.022452462464571,2024/09/23 03:22:46 PM
1381,1730433577.803913,0.0094103179872035,0.0149915814399719,0.0184922814369201,0.1374331262610207,0.0319578109655357,-0.3250653992184667,0.0316510908305645,-0.1370009034872055,-0.9900651574134828,0.1025989204645156,0.0167094599455595,-0.0226529650390148,2024/09/23 03:37:15 PM
833,1730433572.3326569,0.0118252784013748,0.0498480349779129,-0.0072239637374877,0.2482519755886445,0.0703908421238044,-0.3402081310021124,0.0681765675544738,-0.2457098960876464,-0.9669429063796996,-0.1697262823581695,-0.2713920772075653,-0.0286756493151187,2024/09/23 03:28:07 PM
292,1730433566.932354,0.007549338042736,0.0372220277786254,0.0018466114997863,0.3007375393838741,0.0417768575674685,-0.3187278867579597,0.0398902334272861,-0.2962247133255005,-0.9542849063873292,-0.0665199905633926,0.1200800538063049,0.0023299898020923,2024/09/23 03:19:06 PM
1468,1730433578.671404,0.0716988071799278,-0.1768763661384582,-0.0636031627655029,0.4663900450200836,-0.111406145257566,-0.0093106219898985,-0.0993019640445709,-0.449664831161499,-0.8876602053642273,-0.0606531836092472,0.1014613658189773,0.1328010261058807,2024/09/23 03:38:42 PM
120,1730433565.214896,-0.0818591862916946,-0.1029617190361023,0.1094837188720703,0.3369409096264156,-0.0721273468695317,-0.3025890155073746,-0.0680126473307609,-0.3306015729904175,-0.941316545009613,-1.3707849979400637,-0.0435826405882835,-1.6758381128311155,2024/09/23 03:16:14 PM
56,1730433564.575848,0.0411277711391449,0.0895614326000213,-0.0063295364379882,0.4249438572265457,-0.1886372257146084,0.0402429572963919,-0.1708427518606186,-0.4122696220874786,-0.8949002623558044,0.0332375988364219,-0.0453214198350906,-0.003017317969352,2024/09/23 03:15:10 PM
994,1730433573.941359,0.0157972797751426,0.0340888798236846,0.0236904621124267,0.2758237577068147,0.1183677164128941,-0.3290410301791867,0.1136277839541435,-0.2723396420478821,-0.9554684162139891,-0.1051419451832771,-0.3083429038524627,-0.0657931417226791,2024/09/23 03:30:48 PM
790,1730433571.903689,-0.0104732140898704,0.0075214803218841,-0.0010022521018981,0.2779792285779437,0.1284127239712356,-0.3334516553907415,0.123144119977951,-0.2744130194187164,-0.9536944031715392,0.0434237979352474,0.1602996438741684,0.0177696663886308,2024/09/23 03:27:24 PM
1388,1730433577.873544,-0.0030685663223266,0.0205779671669006,-0.0020384192466735,0.1475933742997291,0.0328968196818625,-0.3281060452074097,0.0325332917273044,-0.1470580995082855,-0.9885926842689514,0.3208077549934387,0.029523791745305,-0.1003676205873489,2024/09/23 03:37:22 PM
813,1730433572.1334162,0.0404519438743591,0.0160898864269256,0.0120483040809631,0.3029603068627867,0.1889023400486857,-0.3342771325486015,0.1792288571596145,-0.298346996307373,-0.9374786019325256,0.008765559643507,-0.1791449934244156,-0.1079972684383392,2024/09/23 03:27:47 PM
997,1730433573.970248,0.0202126204967498,0.0287348628044128,0.0016759634017944,0.2722593465383849,0.1093770939455562,-0.3287499276876697,0.1051383465528488,-0.2689082324504852,-0.957410216331482,-0.1531621366739273,-0.3184844851493835,0.0353447720408439,2024/09/23 03:30:51 PM
1464,1730433578.6325011,0.0422223657369613,-0.0125139355659484,0.0303433537483215,0.475922610663115,-0.1072054680906654,-0.0114243197502295,-0.0951093435287475,-0.4581587314605713,-0.8837673664093018,-0.0174084436148405,0.0644950941205024,0.1333425492048263,2024/09/23 03:38:38 PM
414,1730433568.15048,-0.0211018025875091,0.0979734361171722,-0.0324130058288574,0.2579283037321854,0.0746166238125353,-0.3007189904738853,0.072081409394741,-0.2550779283046722,-0.9642300009727478,0.0348868444561958,0.0534871816635131,-0.037817109376192,2024/09/23 03:21:08 PM
898,1730433572.981934,-0.012840561568737,0.0059360563755035,0.004276692867279,0.2746025329999317,0.1238651679817496,-0.3233255559012412,0.1189196854829788,-0.2711643874645233,-0.9551585912704468,0.3448079228401184,0.7176806330680847,0.1077222451567649,2024/09/23 03:29:12 PM
845,1730433572.456558,-0.0728673860430717,0.0412573665380477,-0.0157851576805114,0.2450892500756929,0.0696160107682932,-0.3353940064992885,0.0674810484051704,-0.2426429092884063,-0.9677658677101136,0.3700107932090759,0.7884442806243896,0.1560131907463073,2024/09/23 03:28:19 PM
447,1730433568.483031,0.0047307163476943,0.0204384922981262,0.0051316618919372,0.256029885595998,0.0791360369719444,-0.302488788237317,0.0764765590429306,-0.2532418668270111,-0.964375376701355,0.0438209399580955,-0.0074073262512683,-0.0217751320451498,2024/09/23 03:21:41 PM
1814,1730433582.126482,-0.0119961574673652,-0.0127174258232116,-0.0012499690055847,0.3374785117773541,-0.0894446445071449,0.0961770030886128,-0.0842868089675903,-0.3311088979244232,-0.9398205280303956,0.155691921710968,0.2337158024311065,0.563963770866394,2024/09/23 03:44:28 PM
