Date,TimeStamp,UserAccelerationX,UserAccelerationY,UserAccelerationZ,AttitudePitch,AttitudeRoll,AttitudeYaw,GravityX,GravityY,GravityZ,RotationRateX,RotationRateY,RotationRateZ
14:18.9,34526.142,-0.012806877,-0.019922614,-0.00178659,-0.850271346,-0.048277827,-0.230081271,-0.031840336,0.751459479,-0.65901053,0.14135091,-0.076749064,0.018072871
14:18.9,34526.152,-0.014367364,0.019720972,0.010654092,-0.848882906,-0.048727069,-0.229529034,-0.032187179,0.7505427,-0.660037696,0.135351077,-0.087722354,0.038138196
14:18.9,34526.162,-0.021543708,0.013650656,0.003644228,-0.84770206,-0.048908655,-0.228980471,-0.032350339,0.74976182,-0.660916567,0.119744457,-0.025762582,0.034276612
14:18.9,34526.172,-0.005368359,-0.006133854,0.004382491,-0.846287237,-0.048440056,-0.228209029,-0.032091964,0.748824894,-0.661990583,0.147997141,0.002274911,0.046992939
14:18.9,34526.182,-0.017372839,-0.024403155,0.008713126,-0.844614944,-0.047526811,-0.227275715,-0.031546839,0.747715473,-0.66326946,0.170578629,0.02995714,0.044201571
14:18.9,34526.192,-0.009180775,0.033204138,0.011467695,-0.843160356,-0.046366763,-0.22655172,-0.030827772,0.746748805,-0.664391339,0.161010429,0.08407817,0.033288203
14:18.9,34526.201,-0.008166771,0.009074688,0.00373441,-0.841678315,-0.044970329,-0.225892045,-0.029949682,0.745762289,-0.665538609,0.166731268,0.082915433,0.026162384
14:18.9,34526.211,-0.007678967,-0.024435699,0.009853005,-0.839942556,-0.043784075,-0.225499981,-0.029216781,0.744604766,-0.666865945,0.194271818,0.098059766,0.012784793
14:18.9,34526.221,0.00568741,0.011789918,0.016830564,-0.837680415,-0.042669182,-0.225236283,-0.028545054,0.743092895,-0.668579221,0.254544586,0.091306783,0.008994369
14:19.0,34526.231,0.001052817,0.015727043,0.019650578,-0.834879518,-0.041746776,-0.225050008,-0.028015094,0.741215646,-0.670682132,0.32220301,0.099206783,-0.00269531
14:19.0,34526.241,0.006036503,0.022000253,0.030056298,-0.831292269,-0.040576352,-0.224888498,-0.027337775,0.73880285,-0.673366845,0.405384839,0.107350998,0.016557693
14:19.0,34526.251,-0.001820756,0.019090474,0.026441336,-0.827151469,-0.038793149,-0.224302289,-0.02625541,0.736005962,-0.676465809,0.42898044,0.20499073,0.030066045
14:19.0,34526.261,-0.011752194,0.050795496,0.00633055,-0.823241782,-0.036453515,-0.223682353,-0.024777338,0.733353615,-0.679395735,0.294407099,0.208526343,0.042441327
14:19.0,34526.271,-0.027220406,0.042789936,-0.021847606,-0.821485061,-0.033230161,-0.223055424,-0.022630047,0.732158184,-0.680758595,0.123705678,0.308919787,0.057206426
14:19.0,34526.281,-0.028844396,-0.077790082,-0.030581415,-0.821918231,-0.030119123,-0.222028995,-0.020502526,0.732453167,-0.680508733,-0.178113043,0.199195161,0.075287588
14:19.0,34526.291,-0.028653188,-0.132219315,-0.032281041,-0.824545823,-0.028710021,-0.221296959,-0.019488283,0.734239519,-0.678610742,-0.361887425,-0.0182024,0.057729628
14:19.0,34526.301,0.027377214,-0.125611067,-0.042411745,-0.828508358,-0.028698541,-0.220738841,-0.019396853,0.736923873,-0.675697386,-0.409396052,-0.010232092,0.035702731
14:19.0,34526.311,0.036675215,-0.073676288,-0.018309593,-0.83243096,-0.02848988,-0.219898527,-0.019173371,0.739569783,-0.67280674,-0.385262221,-0.104342073,0.103403755
